Time [s],TX
0.757580082,1.531
0.757599282,1.572
0.757618482,1.618
0.757637682,1.675
0.757656882,1.722
0.757676082,1.758
0.757695282,1.778
0.757714482,1.773
0.757733682,1.768
0.757752882,1.737
0.757772082,1.696
0.757791282,1.644
0.757810482,1.587
0.757829682,1.541
0.757848882,1.495
0.757868082,1.448
0.757887282,1.412
0.757906482,1.402
0.757925682,1.402
0.757944882,1.417
0.757964082,1.438
0.757983282,1.484
0.758002482,1.541
0.758021682,1.598
0.758040882,1.649
0.758060082,1.696
0.758079282,1.732
0.758098482,1.763
0.758117682,1.778
0.758136882,1.773
0.758156082,1.758
0.758175282,1.727
0.758194482,1.686
0.758213682,1.634
0.758232882,1.572
0.758252082,1.515
0.758271282,1.474
0.758290482,1.438
0.758309682,1.412
0.758328882,1.402
0.758348082,1.402
0.758367282,1.433
0.758386482,1.464
0.758405682,1.500
0.758424882,1.546
0.758444082,1.608
0.758463282,1.665
0.758482482,1.716
0.758501682,1.742
0.758520882,1.768
0.758540082,1.784
0.758559282,1.768
0.758578482,1.742
0.758597682,1.706
0.758616882,1.665
0.758636082,1.624
0.758655282,1.562
0.758674482,1.505
0.758693682,1.453
0.758712882,1.422
0.758732082,1.402
0.758751282,1.391
0.758770482,1.402
0.758789682,1.427
0.758808882,1.474
0.758828082,1.525
0.758847282,1.567
0.758866482,1.613
0.758885682,1.675
0.758904882,1.722
0.758924082,1.758
0.758943282,1.773
0.758962482,1.778
0.758981682,1.768
0.759000882,1.742
0.759020082,1.696
0.759039282,1.644
0.759058482,1.587
0.759077682,1.541
0.759096882,1.495
0.759116082,1.448
0.759135282,1.412
0.759154482,1.396
0.759173682,1.396
0.759192882,1.412
0.759212082,1.438
0.759231282,1.484
0.759250482,1.536
0.759269682,1.593
0.759288882,1.644
0.759308082,1.691
0.759327282,1.727
0.759346482,1.763
0.759365682,1.778
0.759384882,1.773
0.759404082,1.753
0.759423282,1.732
0.759442482,1.691
0.759461682,1.634
0.759480882,1.572
0.759500082,1.520
0.759519282,1.474
0.759538482,1.443
0.759557682,1.417
0.759576882,1.396
0.759596082,1.402
0.759615282,1.427
0.759634482,1.464
0.759653682,1.495
0.759672882,1.546
0.759692082,1.603
0.759711282,1.660
0.759730482,1.711
0.759749682,1.742
0.759768882,1.768
0.759788082,1.778
